env_id,method,condition,seed,fitness
LunarLanderContinuous-v3,random,clean,1239,-258.72446770234
LunarLanderContinuous-v3,random,clean,1240,-232.56862287952967
LunarLanderContinuous-v3,random,clean,1241,-219.17607163756674
LunarLanderContinuous-v3,random,clean,1242,-258.90048584746637
LunarLanderContinuous-v3,random,clean,1243,-240.52099424138822
LunarLanderContinuous-v3,random,clean,1244,-282.26741314748926
LunarLanderContinuous-v3,random,clean,1245,-265.6703036675798
LunarLanderContinuous-v3,random,clean,1246,-188.9225887416778
LunarLanderContinuous-v3,random,clean,1247,-224.4970346724725
LunarLanderContinuous-v3,random,clean,1248,-243.08053470135889
LunarLanderContinuous-v3,random,clean,1249,-238.23822157279838
LunarLanderContinuous-v3,random,clean,1250,-230.26577069540235
LunarLanderContinuous-v3,random,clean,1251,-235.3401611806688
LunarLanderContinuous-v3,random,clean,1252,-212.36705914357282
LunarLanderContinuous-v3,random,clean,1253,-248.47602987768323
LunarLanderContinuous-v3,heuristic,clean,1234,235.98804544942078
LunarLanderContinuous-v3,heuristic,clean,1235,247.16042071350253
LunarLanderContinuous-v3,heuristic,clean,1236,248.8284243313583
LunarLanderContinuous-v3,heuristic,clean,1237,249.16708590667764
LunarLanderContinuous-v3,heuristic,clean,1238,248.73540108418038
LunarLanderContinuous-v3,heuristic,clean,1239,249.16571804737782
LunarLanderContinuous-v3,heuristic,clean,1240,248.81909191994765
LunarLanderContinuous-v3,heuristic,clean,1241,248.08454763746076
LunarLanderContinuous-v3,heuristic,clean,1242,246.9437198935053
LunarLanderContinuous-v3,heuristic,clean,1243,255.98880166712715
LunarLanderContinuous-v3,heuristic,clean,1244,255.7569100216437
LunarLanderContinuous-v3,heuristic,clean,1245,255.51361627950405
LunarLanderContinuous-v3,heuristic,clean,1246,255.20256985868042
LunarLanderContinuous-v3,heuristic,clean,1247,257.19623822406203
LunarLanderContinuous-v3,heuristic,clean,1248,258.26225202818637
LunarLanderContinuous-v3,heuristic,clean,1249,258.9996793548047
LunarLanderContinuous-v3,heuristic,clean,1250,258.330841353682
LunarLanderContinuous-v3,heuristic,clean,1251,260.4534262664867
LunarLanderContinuous-v3,heuristic,clean,1252,263.09396236390126
LunarLanderContinuous-v3,heuristic,clean,1253,265.1217021406635
