env_id,method,condition,seed,fitness
Pendulum-v1,cmaes,clean,1244,-1213.5740534409956
Pendulum-v1,cmaes,perturbed,1244,-1194.0737504912581
Pendulum-v1,neat,clean,1244,-1544.1063157047945
Pendulum-v1,neat,perturbed,1244,-1545.8095674677757
Pendulum-v1,ppo,clean,1245,-186.13623864677396
Pendulum-v1,ppo,perturbed,1245,-186.34155896287902
Pendulum-v1,ppo_tuned,clean,1245,-1093.6312600559254
Pendulum-v1,ppo_tuned,perturbed,1245,-1030.3980101003756
Pendulum-v1,es,clean,1245,-970.3785554605271
Pendulum-v1,es,perturbed,1245,-967.585787316533
Pendulum-v1,cmaes,clean,1245,-1088.051027070254
Pendulum-v1,cmaes,perturbed,1245,-1063.0024432350406
Pendulum-v1,neat,clean,1245,-1212.0228048963718
Pendulum-v1,neat,perturbed,1245,-1083.5391279454345
Pendulum-v1,ppo,clean,1246,-290.4714341975222
Pendulum-v1,ppo,perturbed,1246,-327.74451291660625
Pendulum-v1,ppo_tuned,clean,1246,-1021.8509670130643
Pendulum-v1,ppo_tuned,perturbed,1246,-1033.2842402387912
Pendulum-v1,es,clean,1246,-1069.7499532049146
Pendulum-v1,es,perturbed,1246,-1076.3405187688409
Pendulum-v1,cmaes,clean,1246,-1190.9876011279252
Pendulum-v1,cmaes,perturbed,1246,-1167.2503763613354
Pendulum-v1,neat,clean,1246,-1080.3997230130572
Pendulum-v1,neat,perturbed,1246,-1147.0922285103554
Pendulum-v1,ppo,clean,1247,-181.45898849883196
Pendulum-v1,ppo,perturbed,1247,-158.98239045969984
Pendulum-v1,ppo_tuned,clean,1247,-1321.1931573490406
Pendulum-v1,ppo_tuned,perturbed,1247,-1269.9198333560125
Pendulum-v1,es,clean,1247,-1057.1739328854785
Pendulum-v1,es,perturbed,1247,-1035.8573009089628
Pendulum-v1,cmaes,clean,1247,-797.0247895932968
Pendulum-v1,cmaes,perturbed,1247,-776.8530378993199
Pendulum-v1,neat,clean,1247,-1125.6130592961108
Pendulum-v1,neat,perturbed,1247,-1109.8654708185422
Pendulum-v1,ppo,clean,1248,-193.33013438152503
Pendulum-v1,ppo,perturbed,1248,-181.06475797300718
Pendulum-v1,ppo_tuned,clean,1248,-1014.5054972402426
Pendulum-v1,ppo_tuned,perturbed,1248,-1017.6882334029585
Pendulum-v1,es,clean,1248,-1112.8470580548405
Pendulum-v1,es,perturbed,1248,-1109.151535931164
Pendulum-v1,cmaes,clean,1248,-1164.6024226270579
Pendulum-v1,cmaes,perturbed,1248,-1168.8378806853243
Pendulum-v1,neat,clean,1248,-1430.2541683346733
Pendulum-v1,neat,perturbed,1248,-1466.1522230710646
Pendulum-v1,ppo,clean,1249,-194.7835089953324
Pendulum-v1,ppo,perturbed,1249,-184.16984196893583
Pendulum-v1,ppo_tuned,clean,1249,-1343.2352561265702
Pendulum-v1,ppo_tuned,perturbed,1249,-1284.714120192676
Pendulum-v1,es,clean,1249,-1216.988365974192
Pendulum-v1,es,perturbed,1249,-1203.373494693323
Pendulum-v1,cmaes,clean,1249,-1212.1571669724394
Pendulum-v1,cmaes,perturbed,1249,-1202.4227884310749
Pendulum-v1,neat,clean,1249,-1548.452725880031
Pendulum-v1,neat,perturbed,1249,-1575.3322669616539
Pendulum-v1,ppo,clean,1250,-196.81305764207838
Pendulum-v1,ppo,perturbed,1250,-179.88610155065368
Pendulum-v1,ppo_tuned,clean,1250,-1103.929956118943
Pendulum-v1,ppo_tuned,perturbed,1250,-1049.0317228090646
Pendulum-v1,es,clean,1250,-1129.7756873479095
Pendulum-v1,es,perturbed,1250,-1114.9937273523608
Pendulum-v1,cmaes,clean,1250,-1096.707946618621
Pendulum-v1,cmaes,perturbed,1250,-1093.5797451425246
Pendulum-v1,neat,clean,1250,-1099.4466948739762
Pendulum-v1,neat,perturbed,1250,-1139.980342459032
Pendulum-v1,ppo,clean,1251,-218.27130615577852
Pendulum-v1,ppo,perturbed,1251,-183.51438372832862
Pendulum-v1,ppo_tuned,clean,1251,-1111.0882528003438
Pendulum-v1,ppo_tuned,perturbed,1251,-1031.1977191163064
Pendulum-v1,es,clean,1251,-1021.0945628639334
Pendulum-v1,es,perturbed,1251,-980.8470694228303
Pendulum-v1,cmaes,clean,1251,-1123.8144382401076
Pendulum-v1,cmaes,perturbed,1251,-1110.3504852848694
Pendulum-v1,neat,clean,1251,-1089.6281088254066
Pendulum-v1,neat,perturbed,1251,-1132.7096173970208
Pendulum-v1,ppo,clean,1252,-252.10799279298794
Pendulum-v1,ppo,perturbed,1252,-219.42085632191325
Pendulum-v1,ppo_tuned,clean,1252,-1135.822542941312
Pendulum-v1,ppo_tuned,perturbed,1252,-1073.6404918691405
Pendulum-v1,es,clean,1252,-1193.72618827742
Pendulum-v1,es,perturbed,1252,-1197.1907425118393
Pendulum-v1,cmaes,clean,1252,-1108.8047646429202
Pendulum-v1,cmaes,perturbed,1252,-1097.1573378961787
Pendulum-v1,neat,clean,1252,-868.4932124449873
Pendulum-v1,neat,perturbed,1252,-898.0797878337065
Pendulum-v1,ppo,clean,1253,-188.4238348173297
