method,requested_steps,realized_steps_mean,realized_steps_std,realized_steps_min,realized_steps_max,discrepancy_pct,wall_clock_mean_s,n_seeds
ppo,500000,501760.0,0.0,501760,501760,0.35,112.9,20
es,500000,500214.7,180.5,500017,500601,0.04,21.6,20
cmaes,500000,500243.7,210.8,500000,500637,0.05,45.0,20
neat,500000,508172.2,4310.3,500482,519514,1.63,14.1,20
