method,requested_steps,realized_steps_mean,realized_steps_std,realized_steps_min,realized_steps_max,discrepancy_pct,wall_clock_mean_s,n_seeds
ppo,500000,501760.0,0.0,501760,501760,0.35,92.1,20
ppo_tuned,500000,500736.0,0.0,500736,500736,0.15,64.9,20
es,500000,500000.0,0.0,500000,500000,0.0,10.5,20
cmaes,500000,500000.0,0.0,500000,500000,0.0,26.8,20
neat,500000,504000.0,0.0,504000,504000,0.8,5.2,20
